from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,transfer_duration_seconds,straight_distance_meters,duration_is_estimated
I4108,1273,I4108|1273,백마역,I41WS,1273,I41WS|1273,백마역,180,0,True
I41WS,1273,I41WS|1273,백마역,I4108,1273,I4108|1273,백마역,180,0,True
I4108,1274,I4108|1274,풍산역,I41WS,1274,I41WS|1274,풍산역,180,0,True
I41WS,1274,I41WS|1274,풍산역,I4108,1274,I4108|1274,풍산역,180,0,True
I4108,1275,I4108|1275,일산역,I41WS,1275,I41WS|1275,일산역,180,0,True
I41WS,1275,I41WS|1275,일산역,I4108,1275,I4108|1275,일산역,180,0,True
I41K5,1502,I41K5|1502,이매역,I4105,1860,I4105|1860,이매역,317,164,True
I4105,1860,I4105|1860,이매역,I41K5,1502,I41K5|1502,이매역,317,164,True
I4101,1708,I4101|1708,금정역,I4103,1708,I4103|1708,금정역,195,18,True
I4103,1708,I4103|1708,금정역,I4101,1708,I4101|1708,금정역,195,18,True
I28K1,1755,I28K1|1755,한대앞역,I4103,1755,I4103|1755,한대앞역,210,36,True
I4103,1755,I4103|1755,한대앞역,I28K1,1755,I28K1|1755,한대앞역,210,36,True
I28K1,1757,I28K1|1757,고잔역,I4103,1757,I4103|1757,고잔역,180,0,True
I4103,1757,I4103|1757,고잔역,I28K1,1757,I28K1|1757,고잔역,180,0,True
I28K1,1758,I28K1|1758,초지역,I4103,1758,I4103|1758,초지역,180,0,True
I4103,1758,I4103|1758,초지역,I28K1,1758,I28K1|1758,초지역,180,0,True
I28K1,1758,I28K1|1758,초지역,I41WS,4813,I41WS|4813,초지역,327,177,True
