service_line_id,source_line_id,source_station_id,source_station_key,station_name,next_source_line_id,next_source_station_id,next_source_station_key,next_station_name,day_group,time_period,median_headway_seconds,expected_wait_seconds,departure_count,interval_sample_count
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,EVENING_PEAK,320,160,23,22
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G109,L41G1|G109,김포공항역,WEEKDAY,LATE_NIGHT,360,180,43,42
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,LATE_NIGHT,360,180,41,40
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,LATE_NIGHT,360,180,40,39
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,LATE_NIGHT,360,180,38,37
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,LATE_NIGHT,1080,540,13,12
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,LATE_NIGHT,1080,540,13,12
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,LATE_NIGHT,360,180,38,37
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,LATE_NIGHT,360,180,36,35
SL_93451329FB01,L41G1,G100,L41G1|G100,양촌역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,LATE_NIGHT,1080,540,12,11
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,EARLY_MORNING,300,150,19,17
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,EARLY_MORNING,300,150,19,17
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,EARLY_MORNING,300,150,18,16
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,EARLY_MORNING,360,180,18,16
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,EARLY_MORNING,360,180,18,16
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,EARLY_MORNING,420,210,17,15
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,EARLY_MORNING,450,225,18,16
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,EARLY_MORNING,480,240,17,15
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKDAY,EARLY_MORNING,750,375,8,6
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKDAY,MORNING_PEAK,750,375,12,11
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,MORNING_PEAK,150,75,41,40
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,MORNING_PEAK,150,75,43,42
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,MORNING_PEAK,150,75,42,41
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,MORNING_PEAK,150,75,44,43
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,MORNING_PEAK,150,75,43,42
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,MORNING_PEAK,150,75,44,43
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,MORNING_PEAK,150,75,45,44
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,MORNING_PEAK,150,75,47,46
SL_93451329FB01,L41G1,G101,L41G1|G101,구래역,L41G1,G100,L41G1|G100,양촌역,WEEKDAY,DAYTIME,1080,540,38,37
SL_93451329FB01,L41G1,G102,L41G1|G102,마산역,L41G1,G101,L41G1|G101,구래역,WEEKDAY,DAYTIME,360,180,91,90
SL_93451329FB01,L41G1,G103,L41G1|G103,장기역,L41G1,G102,L41G1|G102,마산역,WEEKDAY,DAYTIME,360,180,90,89
SL_93451329FB01,L41G1,G104,L41G1|G104,운양역,L41G1,G103,L41G1|G103,장기역,WEEKDAY,DAYTIME,360,180,89,88
SL_93451329FB01,L41G1,G105,L41G1|G105,걸포북변역,L41G1,G104,L41G1|G104,운양역,WEEKDAY,DAYTIME,360,180,89,88
SL_93451329FB01,L41G1,G106,L41G1|G106,사우역,L41G1,G105,L41G1|G105,걸포북변역,WEEKDAY,DAYTIME,360,180,88,87
SL_93451329FB01,L41G1,G107,L41G1|G107,풍무역,L41G1,G106,L41G1|G106,사우역,WEEKDAY,DAYTIME,360,180,88,87
SL_93451329FB01,L41G1,G108,L41G1|G108,고촌역,L41G1,G107,L41G1|G107,풍무역,WEEKDAY,DAYTIME,360,180,86,85
SL_93451329FB01,L41G1,G109,L41G1|G109,김포공항역,L41G1,G108,L41G1|G108,고촌역,WEEKDAY,DAYTIME,360,180,84,83
