service_line_id,region_code,region_name,operator_name,service_line_name,station_order,order_conflict,source_line_id,source_station_id,source_station_key,station_name
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,12,False,S2601,0106,S2601|0106,대티
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,13,False,S2601,0107,S2601|0107,서대신
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,14,False,S2601,0108,S2601|0108,동대신
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,15,False,S2601,0109,S2601|0109,토성
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,16,False,S2601,0110,S2601|0110,자갈치
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,17,False,S2601,0111,S2601|0111,남포
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,18,False,S2601,0112,S2601|0112,중앙
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,19,False,S2601,0113,S2601|0113,부산역
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,20,False,S2601,0114,S2601|0114,초량
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,21,False,S2601,0115,S2601|0115,부산진
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,22,False,S2601,0116,S2601|0116,좌천
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,23,False,S2601,0117,S2601|0117,범일
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,24,False,S2601,0118,S2601|0118,범내골
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,25,False,S2601,0119,S2601|0119,서면
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,26,False,S2601,0120,S2601|0120,부전
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,27,False,S2601,0121,S2601|0121,양정
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,28,False,S2601,0122,S2601|0122,시청(연제)
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,29,False,S2601,0123,S2601|0123,연산
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,30,False,S2601,0124,S2601|0124,교대
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,31,False,S2601,0125,S2601|0125,동래
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,32,False,S2601,0126,S2601|0126,명륜
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,33,False,S2601,0127,S2601|0127,온천장
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,34,False,S2601,0128,S2601|0128,부산대
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,35,False,S2601,0129,S2601|0129,장전
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,36,False,S2601,0130,S2601|0130,구서
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,37,False,S2601,0131,S2601|0131,두실
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,38,False,S2601,0132,S2601|0132,남산
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,39,False,S2601,0133,S2601|0133,범어사
SL_BFAC24E0343C,02,부산,부산교통공사,1호선,40,False,S2601,0134,S2601|0134,노포
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,1,False,S2602,0201,S2602|0201,장산
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,2,False,S2602,0202,S2602|0202,중동
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,3,False,S2602,0203,S2602|0203,해운대
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,4,False,S2602,0204,S2602|0204,동백
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,5,False,S2602,0205,S2602|0205,벡스코
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,6,False,S2602,0206,S2602|0206,센텀시티
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,7,False,S2602,0207,S2602|0207,민락
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,8,False,S2602,0208,S2602|0208,수영
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,9,False,S2602,0209,S2602|0209,광안
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,10,False,S2602,0210,S2602|0210,금련산
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,11,False,S2602,0211,S2602|0211,남천
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,12,False,S2602,0212,S2602|0212,경성대·부경대
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,13,False,S2602,0213,S2602|0213,대연
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,14,False,S2602,0214,S2602|0214,못골
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,15,False,S2602,0215,S2602|0215,지게골
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,16,False,S2602,0216,S2602|0216,문현
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,17,False,S2602,0217,S2602|0217,국제금융센터·부산은행
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,18,False,S2602,0218,S2602|0218,전포
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,19,False,S2602,0219,S2602|0219,서면
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,20,False,S2602,0220,S2602|0220,부암
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,21,False,S2602,0221,S2602|0221,가야
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,22,False,S2602,0222,S2602|0222,동의대
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,23,False,S2602,0223,S2602|0223,개금
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,24,False,S2602,0224,S2602|0224,냉정
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,25,False,S2602,0225,S2602|0225,주례
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,26,False,S2602,0226,S2602|0226,감전
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,27,False,S2602,0227,S2602|0227,사상
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,28,False,S2602,0228,S2602|0228,덕포
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,29,False,S2602,0229,S2602|0229,모덕
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,30,False,S2602,0230,S2602|0230,모라
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,31,False,S2602,0231,S2602|0231,구남
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,32,False,S2602,0232,S2602|0232,구명
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,33,False,S2602,0233,S2602|0233,덕천
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,34,False,S2602,0234,S2602|0234,수정
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,35,False,S2602,0235,S2602|0235,화명
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,36,False,S2602,0236,S2602|0236,율리
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,37,False,S2602,0237,S2602|0237,동원
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,38,False,S2602,0238,S2602|0238,금곡
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,39,False,S2602,0239,S2602|0239,호포
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,40,False,S2602,0240,S2602|0240,증산
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,41,False,S2602,0241,S2602|0241,부산대양산캠퍼스
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,42,False,S2602,0242,S2602|0242,남양산
SL_669DDAD57BBE,02,부산,부산교통공사,2호선,43,False,S2602,0243,S2602|0243,양산
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,1,False,S2603,0301,S2603|0301,수영
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,2,False,S2603,0302,S2603|0302,망미
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,3,False,S2603,0303,S2603|0303,배산
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,4,False,S2603,0304,S2603|0304,물만골
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,5,False,S2603,0305,S2603|0305,연산
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,6,False,S2603,0306,S2603|0306,거제
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,7,False,S2603,0307,S2603|0307,종합운동장
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,8,False,S2603,0308,S2603|0308,사직
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,9,False,S2603,0309,S2603|0309,미남
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,10,False,S2603,0310,S2603|0310,만덕
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,11,False,S2603,0311,S2603|0311,남산정
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,12,False,S2603,0312,S2603|0312,숙등
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,13,False,S2603,0313,S2603|0313,덕천
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,14,False,S2603,0314,S2603|0314,구포
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,15,False,S2603,0315,S2603|0315,강서구청
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,16,False,S2603,0316,S2603|0316,체육공원
SL_D2AA9565CC28,02,부산,부산교통공사,3호선,17,False,S2603,0317,S2603|0317,대저
SL_B1F662AB4558,02,부산,부산교통공사,4호선,1,False,L2604,0401,L2604|0401,미남
SL_B1F662AB4558,02,부산,부산교통공사,4호선,2,False,L2604,0402,L2604|0402,동래
SL_B1F662AB4558,02,부산,부산교통공사,4호선,3,False,L2604,0403,L2604|0403,수안
SL_B1F662AB4558,02,부산,부산교통공사,4호선,4,False,L2604,0404,L2604|0404,낙민
SL_B1F662AB4558,02,부산,부산교통공사,4호선,5,False,L2604,0405,L2604|0405,충렬사
SL_B1F662AB4558,02,부산,부산교통공사,4호선,6,False,L2604,0406,L2604|0406,명장
SL_B1F662AB4558,02,부산,부산교통공사,4호선,7,False,L2604,0407,L2604|0407,서동
SL_B1F662AB4558,02,부산,부산교통공사,4호선,8,False,L2604,0408,L2604|0408,금사
SL_B1F662AB4558,02,부산,부산교통공사,4호선,9,False,L2604,0409,L2604|0409,반여농산물시장
SL_B1F662AB4558,02,부산,부산교통공사,4호선,10,False,L2604,0410,L2604|0410,석대
SL_B1F662AB4558,02,부산,부산교통공사,4호선,11,False,L2604,0411,L2604|0411,영산대
SL_B1F662AB4558,02,부산,부산교통공사,4호선,12,False,L2604,0412,L2604|0412,윗반송
SL_B1F662AB4558,02,부산,부산교통공사,4호선,13,False,L2604,0413,L2604|0413,고촌
SL_B1F662AB4558,02,부산,부산교통공사,4호선,14,False,L2604,0414,L2604|0414,안평
SL_1500AD3823C1,03,대구,대구교통공사,1호선,1,False,S2701,0115,S2701|0115,설화명곡
SL_1500AD3823C1,03,대구,대구교통공사,1호선,2,False,S2701,0116,S2701|0116,화원
SL_1500AD3823C1,03,대구,대구교통공사,1호선,3,False,S2701,0117,S2701|0117,대곡(정부대구청사)
SL_1500AD3823C1,03,대구,대구교통공사,1호선,4,False,S2701,0118,S2701|0118,진천
SL_1500AD3823C1,03,대구,대구교통공사,1호선,5,False,S2701,0119,S2701|0119,월배
SL_1500AD3823C1,03,대구,대구교통공사,1호선,6,False,S2701,0120,S2701|0120,상인
SL_1500AD3823C1,03,대구,대구교통공사,1호선,7,False,S2701,0121,S2701|0121,월촌
