service_line_id,from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,duration_seconds,average_duration_seconds,straight_distance_meters,sample_count,duration_method
SL_1500AD3823C1,S2701,0143,S2701|0143,신기,S2701,0144,S2701|0144,반야월,60,60,1080,409,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0144,S2701|0144,반야월,S2701,0145,S2701|0145,각산,120,119,941,409,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0145,S2701|0145,각산,S2701,0146,S2701|0146,안심(혁신도시·첨복단지),120,119,971,409,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0146,S2701|0146,안심(혁신도시·첨복단지),S2701,0147,S2701|0147,대구한의대병원,120,121,1535,213,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0147,S2701|0147,대구한의대병원,S2701,0148,S2701|0148,부호(경일대·호산대),360,360,5682,213,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0148,S2701|0148,부호(경일대·호산대),S2701,0149,S2701|0149,하양(대구가톨릭대),180,178,1650,213,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0140,S2701|0140,방촌,S2701,0139,S2701|0139,해안,60,61,1053,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0139,S2701|0139,해안,S2701,0138,S2701|0138,동촌(동촌유원지),60,60,817,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0138,S2701|0138,동촌(동촌유원지),S2701,0137,S2701|0137,아양교(대구국제공항입구),120,120,989,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0137,S2701|0137,아양교(대구국제공항입구),S2701,0136,S2701|0136,동구청(큰고개),120,119,722,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0136,S2701|0136,동구청(큰고개),S2701,0135,S2701|0135,동대구역,60,60,892,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0135,S2701|0135,동대구역,S2701,0134,S2701|0134,신천(경북대입구),60,60,957,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0134,S2701|0134,신천(경북대입구),S2701,0133,S2701|0133,칠성시장,120,120,1128,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0133,S2701|0133,칠성시장,S2701,0132,S2701|0132,대구역,120,119,718,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0132,S2701|0132,대구역,S2701,0131,S2701|0131,중앙로,60,60,670,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0131,S2701|0131,중앙로,S2701,0130,S2701|0130,반월당,60,60,778,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0130,S2701|0130,반월당,S2701,0129,S2701|0129,명덕(2.28민주운동기념회관),120,119,756,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0129,S2701|0129,명덕(2.28민주운동기념회관),S2701,0128,S2701|0128,교대,60,60,699,412,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0128,S2701|0128,교대,S2701,0127,S2701|0127,영대병원,60,61,791,409,DEPARTURE_TO_ARRIVAL
SL_1500AD3823C1,S2701,0127,S2701|0127,영대병원,S2701,0126,S2701|0126,현충로,120,119,773,409,DEPARTURE_TO_ARRIVAL
